group,Matriline,AnimalID.text,DOB,MaternalID.text,Birth.Season,ExitAge2,First_born,Died,MomAllLossType,High_temperature,High_temperatureLog,Rainfall,RainfallLog,Group_size,Group_sizeLog,Maternal_kin_count,Maternal_kin_countLog,Matriline_rank,CompetingSib,Maternal_loss,Hurricane,female,CumulIndex,Cumulative_early_life_adversity,censored,time,timeYr
BB,'DM,'77H,35431,'X33,1997,2589,N,0,0,0.819140338,0.820524029,-1.356879306,-1.528839665,-0.81454296,-0.575540172,0.685606888,0.838286063,H,N,N,0None,F,2.589700249,-1.006955468,1,2590,7.095890411
BB,'DM,'35I,35907,'X33,1998,2165,N,0,0,0.398352002,0.405441764,-0.06954534,0.025367656,-0.995460845,-0.854508632,0.685606888,0.838286063,H,Y,N,Georges,F,3.241920212,-0.224971321,1,2166,5.934246575
BB,'DM,'96K,36120,'Z67,1999,1935,N,0,0,-0.020559925,-0.011058542,-0.17719794,-0.088163979,-1.156276744,-1.156682605,-0.310491852,-0.07270889,H,N,N,0None,F,2.231441279,-1.436492819,1,1936,5.304109589
BB,'DM,'36J,35790,'89A,1998,1840,N,1,0,1.127812273,1.122947493,0.161219112,0.260667751,-1.015562833,-0.889049477,-0.310491852,-0.07270889,H,N,N,Georges,F,3.459830498,0.036293894,0,1841,5.043835616
BB,'DM,'29H,35455,'C63,1997,6615,N,1,0,0.976760061,0.975169595,-1.282674903,-1.425413556,-0.794440972,-0.54757898,1.681705628,1.438343098,H,Y,N,0None,M,2.516600891,-1.094598506,0,6616,18.1260274
BB,'DM,'92I,35800,'K83,1998,2244,N,0,0,1.0541626,1.050946002,0.072117612,0.171076175,-0.975358858,-0.8207619,0.685606888,0.838286063,H,Y,N,Georges,M,3.367441599,-0.074476487,1,2245,6.150684932
BB,'DM,'56F,35096,'V99,1996,2962,N,0,0,-0.636965592,-0.629956029,-0.284007308,-0.203318187,-1.317092643,-1.537623807,0.187557518,0.440336861,H,N,N,0None,M,2.027271656,-1.68128356,1,2963,8.117808219
BB,'DM,'45J,35782,'N37,1998,2273,N,0,0,1.206622134,1.199885036,0.017588619,0.115473674,-1.03566482,-0.924422711,0.685606888,0.838286063,H,N,N,Georges,M,3.396631287,-0.039479286,1,2274,6.230136986
A,'011,'Z,21927,'011,1960,2020,N,1,1,0.2416705,0.250046851,-0.162300844,-0.072304336,-1.055766807,-0.960669446,-1.306590592,-2.031949388,H,N,Y,0None,F,3.409307773,-0.024280715,0,2021,5.536986301
A,'011,'JE,22302,'011,1961,3940,N,0,1,-1.05118645,-1.049967074,0.246666606,0.345154954,-0.81454296,-0.575540172,-1.306590592,-2.031949388,H,N,Y,0None,F,3.110140661,-0.382969428,1,3941,10.79726027
