group,Matriline,AnimalID.text,DOB,Sex,MaternalID.text,Birth.Season,csi_ff_avg,ExitAge2,Died,s_csiff,censored,time,ExitAgeYr
F,'073,'1L2,40466,FEMALE,'00J,2011,0.492945439,1887,0,-1.011485965,1,1888,5.169863014
F,'065,'2L6,40519,MALE,'14I,2011,1.291071837,3264,0,0.578158109,1,3265,8.942465753
F,'065,'3K1,40465,MALE,'14L,2011,0.962224799,3290,0,-0.076813016,1,3291,9.01369863
F,'065,'2J4,40187,MALE,'17C,2010,1.636531422,2440,1,1.266216772,0,2441,6.684931507
F,'065,'2L8,40498,FEMALE,'17C,2011,1.636531422,2586,0,1.266216772,1,2587,7.084931507
F,'065,'4K2,40467,MALE,'28J,2011,1.567741805,2617,0,1.129207136,1,2618,7.169863014
F,'004,'3K4,40453,MALE,'28N,2011,0.720111877,2631,0,-0.559034094,1,2632,7.208219178
F,'065,'2L5,40440,FEMALE,'29Z,2011,1.685456786,2644,0,1.363662382,1,2645,7.243835616
F,'004,'1L4,40515,FEMALE,'40L,2011,1.221412178,2569,0,0.439415593,1,2570,7.038356164
F,'004,'5K5,40461,MALE,'50I,2011,0.807728522,2623,0,-0.384526295,1,2624,7.18630137
F,'004,'2L9,40518,FEMALE,'57H,2011,1.263098393,1765,1,0.522442849,0,1766,4.835616438
F,'004,'5K1,40450,FEMALE,'61J,2011,1.346663021,2634,0,0.688880166,1,2635,7.216438356
F,'065,'9K4,40445,MALE,'62H,2011,1.057848826,3324,0,0.113643243,1,3325,9.106849315
F,'073,'1L5,40475,FEMALE,'62V,2011,0.505193476,2609,0,-0.987091307,1,2610,7.147945205
F,'065,'5K7,40455,FEMALE,'73B,2011,0.977805583,2629,0,-0.045780461,1,2630,7.202739726
F,'065,'3L1,40453,MALE,'92D,2011,1.028470789,2631,0,0.055130428,1,2632,7.208219178
F,'065,'9N1,40771,FEMALE,'04N,2012,1.409591639,2313,0,0.814216334,1,2314,6.336986301
F,'004,'8N8,40832,FEMALE,'1A3,2012,0.604987959,1515,0,-0.788328669,1,1516,4.150684932
F,'004,'1N2,40817,FEMALE,'2A7,2012,1.535890662,1487,0,1.065768586,1,1488,4.073972603
F,'004,'2N6,40795,FEMALE,'32S,2012,1.443959364,3024,1,0.882667209,0,3025,8.284931507
F,'004,'9M2,40795,MALE,'34N,2012,0.919922375,2289,0,-0.161067588,1,2290,6.271232877
F,'004,'9M5,40808,MALE,'40L,2012,1.376381915,3547,1,0.748071872,0,3548,9.717808219
