group,Matriline,AnimalID.text,DOB,Sex,MaternalID.text,Birth.Season,csi_ff_avg,ExitAge2,Died,s_csiff,censored,time,ExitFour,CensorFour,ExitFourYr
F,'073,'1L2,40466,FEMALE,'00J,2011,0.492945439,1887,0,-1.011485965,1,1888,1460,1,4
F,'073,'9L4,40470,MALE,'03J,2011,1.137880724,497,0,0.273044351,1,498,497,1,1.361643836
F,'065,'8I1,40183,MALE,'10S,2010,0.954850558,400,0,-0.091500438,1,401,400,1,1.095890411
F,'065,'3K8,40475,FEMALE,'10S,2011,0.954850558,648,1,-0.091500438,0,649,648,0,1.775342466
F,'065,'2L6,40519,MALE,'14I,2011,1.291071837,3264,0,0.578158109,1,3265,1460,1,4
F,'065,'3K1,40465,MALE,'14L,2011,0.962224799,3290,0,-0.076813016,1,3291,1460,1,4
F,'065,'2J4,40187,MALE,'17C,2010,1.636531422,2440,1,1.266216772,0,2441,1460,1,4
F,'065,'2L8,40498,FEMALE,'17C,2011,1.636531422,2586,0,1.266216772,1,2587,1460,1,4
F,'065,'4K2,40467,MALE,'28J,2011,1.567741805,2617,0,1.129207136,1,2618,1460,1,4
F,'004,'3K4,40453,MALE,'28N,2011,0.720111877,2631,0,-0.559034094,1,2632,1460,1,4
F,'073,'2L7,40456,MALE,'29B,2011,0.506964282,511,0,-0.983564358,1,512,511,1,1.4
F,'065,'2L5,40440,FEMALE,'29Z,2011,1.685456786,2644,0,1.363662382,1,2645,1460,1,4
F,'004,'I1132S,40489,FEMALE,'32S,2011,0.812117343,73,1,-0.375784994,0,74,73,0,0.2
F,'004,'7K3,40472,MALE,'34N,2011,0.671699879,495,0,-0.655457225,1,496,495,1,1.356164384
F,'065,'4K8,40434,MALE,'35N,2011,1.247812322,533,0,0.491997281,1,534,533,1,1.460273973
F,'073,'I1136Z,40463,MALE,'36Z,2011,0.488541143,244,1,-1.020258087,0,245,244,0,0.668493151
F,'004,'1L4,40515,FEMALE,'40L,2011,1.221412178,2569,0,0.439415593,1,2570,1460,1,4
F,'065,'3L0,40466,MALE,'43F,2011,0.535090805,1159,0,-0.927544208,1,1160,1159,1,3.175342466
F,'065,'4K9,40447,MALE,'43J,2011,0.603330131,520,0,-0.791630599,1,521,520,1,1.424657534
F,'004,'2L4,40435,FEMALE,'44J,2011,1.103371145,532,0,0.204310942,1,533,532,1,1.457534247
F,'004,'5K5,40461,MALE,'50I,2011,0.807728522,2623,0,-0.384526295,1,2624,1460,1,4
F,'004,'3K0,40490,MALE,'50S,2011,0.752114834,477,0,-0.495293173,1,478,477,1,1.306849315
F,'065,'3K3,40451,MALE,'52P,2011,0.637312284,624,1,-0.723947675,0,625,624,0,1.709589041
F,'004,'0L3,40473,MALE,'55V,2011,1.034888313,1181,0,0.067912336,1,1182,1181,1,3.235616438
F,'065,'1L3,40472,MALE,'56A,2011,0.910599322,495,0,-0.179636496,1,496,495,1,1.356164384
F,'004,'2L9,40518,FEMALE,'57H,2011,1.263098393,1765,1,0.522442849,0,1766,1460,1,4
F,'065,'4K5,40495,MALE,'59A,2011,0.773979019,472,0,-0.451745846,1,473,472,1,1.293150685
F,'065,'3K5,40463,MALE,'60P,2011,1.323064525,504,0,0.641878577,1,505,504,1,1.380821918
F,'004,'5K1,40450,FEMALE,'61J,2011,1.346663021,2634,0,0.688880166,1,2635,1460,1,4
F,'065,'9K4,40445,MALE,'62H,2011,1.057848826,3324,0,0.113643243,1,3325,1460,1,4
F,'073,'1L5,40475,FEMALE,'62V,2011,0.505193476,2609,0,-0.987091307,1,2610,1460,1,4
F,'004,'9L8,40420,MALE,'63V,2011,1.185389987,547,0,0.367669486,1,548,547,1,1.498630137
F,'065,'7K2,40460,FEMALE,'64D,2011,0.520291964,507,0,-0.957019352,1,508,507,1,1.389041096
F,'065,'5K2,40459,FEMALE,'64P,2011,0.81477422,1153,0,-0.370493239,1,1154,1153,1,3.15890411
F,'065,'6L9,40421,FEMALE,'68J,2011,0.899842999,729,1,-0.201060076,0,730,729,0,1.997260274
F,'065,'5K7,40455,FEMALE,'73B,2011,0.977805583,2629,0,-0.045780461,1,2630,1460,1,4
F,'073,'I1174S,40447,FEMALE,'74S,2011,0.641165425,74,1,-0.716273297,0,75,74,0,0.202739726
F,'065,'I1178T,40447,FEMALE,'78T,2011,0.780013069,197,1,-0.439727709,0,198,197,0,0.539726027
F,'065,'I1179C,40486,MALE,'79C,2011,0.558170919,40,1,-0.881575091,0,41,40,0,0.109589041
F,'004,'I1182L,40442,FEMALE,'82L,2011,0.838345139,233,0,-0.323546577,1,234,233,1,0.638356164
F,'004,'2L2,40445,MALE,'87K,2011,1.014685328,522,0,0.027673653,1,523,522,1,1.430136986
F,'004,'I1090D,40179,MALE,'90D,2010,1.576467138,11,1,1.146585553,0,12,11,0,0.030136986
F,'004,'I1190D,40494,MALE,'90D,2011,1.576467138,9,1,1.146585553,0,10,9,0,0.024657534
